file	bytes	sha256
JJThunder_Hell_Is_Fire_1.21.0-1.21.1_v0.1.0.zip	7392	cbf5c895069e4fa30ff07eadfbc8ecc4f271037fdc586b5ff2a9c84dd422ec43
JJThunder_To_The_Max_1.21.0_1.21.1_v0.6.0.zip	156552	5a691ee733826c3c36008ff71a462092166b91a22f86706ca7868e282f597867
