file	bytes	sha256
§6Immersive§8_§6Interfaces§8.zip	1197001	91e8303b22d921074619252b9b66b9fc2127c97aa7a6d487f39056900c091547
Better-Leaves-9.5.zip	1923769	5480640cb2f7674da4f2897ebc48b29a436706614160f4d4d8ad0ead5150fea6
Default HD 128x Demo 1.8.2.6.zip	16876419	a502422ac32786ebefffca717c0e7ec736807a9eca535bb764a4ac3314c591e1
DetailedAnimationsV0.19.zip	50040	bc03f2ca335f8b3ab1870e417163c55f3f2ca5eabc8a1d19e9f7fe46daaa0861
Enchantment Outlines.zip	1108582	9f86cf6a4a1c410cd8913c658fa180a096e08c4a2bb9579977b8e4668c84af6d
FreshAnimations_v1.10.5.zip	645816	cf9f17a2977e171b33cb0b598bc4357dd0383e09c10d5f768ff17c12d0a028ee
LowOnFire v26.2§8.zip	42760	25fc89fedc6d47fe2480a60910c65c8fd8b50121aaab919933e47cc6ba730a67
